증상,병명
"병변은 주로 모낭이 있는 목, 겨드랑이, 엉덩이 등에 호발하나 몸 어디에든 발생될 수 있으며, 초기에는 만지면 아픈 단단하고 붉은 결절로 시작하여 시간이 지나면서 크기가 커지고 통증이 심해지며 중심을 만지면 파동이 느껴지기도 합니다. 대부분 전신증상은 없다.",부스럼
"진폐증에서 가장 흔히, 그리고 공통적으로 경험하는 증상은 호흡곤란, 기침, 다량의 담액(쓸개즙) 및 배출곤란, 가슴의 통증(흉통) 등이다. 이와 같은 증상들은 진폐증을 의심하게 하여 검사 방향을 결정하는데 도움을 주는 것은 사실이지만, 분진에 노출되는 직업이 확인되고 위와 같은 증상이 있는 것만으로 진폐증이 진단되지는 않는다. 다만 면폐증의 경우에는 전형적인 지각증상(Monday morning coughing)이 진단에 매우 큰 비중을 차지한다.",진폐증
"대부분 사춘기 이후 생리가 없고 매달 규칙적인 하복부 통증이나 회음부 통증을 호소한다. 처녀막 위로 생리혈이 고여 질 혈종을 만들어 골반 종양이 만져질 수도 있다. 드물게 영유아기에 발견되는 경우도 있다. 예를 들어 기저귀를 갈다가 우연히 발견되거나, 분비물이 고여서 종양처럼 만져지거나, 질 입구로부터 돌출되는 종양으로 관찰될 수 있다.",처녀막폐쇄증
피부묘기증은 단순히 피부의 부종과 발적만 나타나는 단순피부묘기증(simple dermographism)과 발진부위에 가려움을 동반하는 증상성 피부묘기증(symptomatic dermographism)으로 나눌 수 있다.,피부묘기증
"MRSA 감염증의 증상은 침범 부위에 따라 다양합니다. 균혈증은 발열로 나타나고 감염심내막염은 발열, 장기 색전, 호흡곤란 등으로 나타나며 관절염은 관절의 종창, 발적, 통증으로 나타납니다. 연조직 감염은 피부 및 피하조직의 종창, 발적, 통증으로 나타나고 폐렴은 발열, 객담, 호흡곤란으로 나타납니다. MRSA는 고름을 잘 형성하는 특성이 있어 감염부위에 고름집이 흔히 동반됩니다.",메티실린내성황색포도알균감염
"원인 및 연관질환과 중증도에 따라 무증상부터 복통, 속 쓰림, 복부 팽만감, 구역, 구토, 설사, 지방변, 체중감소, 위장관 출혈에 이르기까지 다양한 증상이 동반될 수 있다.",위산과다
"뇌의 기능과 관련된 모든 증상이 발생할 수 있다. 무증상에서부터 가볍게는 어지러움이나 시력 증상, 심하게는 사지 마비, 안면 마비, 연하 장애, 이상 감각, 인지 기능 장애, 비뇨기계 또는 소화기계 장애, 그리고 신경정신과적인 증상, 심하게는 의식 저하나 식물인간 상태 내지 사망에까지 이를 수 있다. 혈액 공급이 부족해서 발생하는 증상은 대부분 일시적으로 발생하는데, 이를 일과성 허혈 발작이라고 표현하며, 영구적인 증상이 발생할 가능성이 높다는 경고이다.한편 혈관이 막혀서 증상이 발생하는 경우, 대부분 영구적으로 지속되며 이를 뇌경색이라고 한다. 간혹 증상이 호전되기도 하지만, 뇌세포는 한번 죽게 되면 재생이 안 되므로, 한번 뇌경색이 발생하면 증상이 완전히 정상화되는 것은 기대하기 어렵다.",경동맥협착증
"복부 팽만의 증상으로는 복위가 실제로 늘어나는 것 외 트림, 구역감, 구토, 변비, 복통이 나타나며, 주관적으로 더부룩한 느낌이 있다. 트림(belching)은 수의적 혹은 불수의적 모두 나타날 수 있으며, 위가 과도하게 늘어난 경우 식도를 통해 인두로 공기가 빠져나오면서 소리가 나게 된다. 더부룩한 느낌은 위장관에 가스가 증가하여 장의 내강이 증가하는 경우 나타나며 심한 경우 복통이 동반된다. 복부팽만이 심한 경우 복압이 높아져 하지부종이나 탈장이 나타날 수도 있다. 비만이 있거나 통증, 국소 증상 등이 없을 경우에는 복부 팽만이 상당히 진행하여도 수 주 혹은 수개월 동안 눈에 띄지 않을 수도 있다.",복부팽만
"대부분 목과 몸통 상부에 양측성, 대칭성으로 발생하며, 홍반성 구진이 발생하고 치유 후에 그물 모양의 색소침착이 나타난다. 심한 가려움증을 동반하는 경우가 많으며, 주로 봄, 여름에 젊은 여성에 호발한다.",색소성양진
"1) 호흡기계호흡의 욕구가 증가되어 호흡량이 과도하게 늘어나는 것이 가장 흔한 증상이다. 과도한 호흡이 끝난 후에는 낮은 혈중 이산화탄소에 대한 반응으로 호흡이 감소하기도 한다.2) 몸의 과도한 알칼리화(알칼리증)에 따른 증상각종 전해질 이상이 동반되어 어지러움, 감각 이상, 손발의 경련, 근육의 힘이 없어지는 증상 등이 나타난다. 급성으로 심하게 과호흡이 일어나는 경우 일시적으로 나타난다.- 심장 등의 순환기계: 알칼리증에 의한 심장 혈관 수축에 의하여 심근 허혈(심장 근육에 혈액이 적게 순환되어 가슴 통증을 유발하기도 하고 심장의 기능이 급격히 악화되는 현상)이 나타나거나, 알칼리증에 의한 전해질 이상에 의해 부정맥(심장박동이 불규칙하게 나타남)이 나타나기도 한다.- 뇌: 알칼리증에 의한 뇌혈관 수축에 의해 어지러움, 시각 이상, 실신, 경련 등이 일어나기도 한다.",과호흡증후군
"고혈압성 뇌출혈 환자의 임상적 양상은 가벼운 신경학적 증상부터 혼수 또는 급사까지 다양하다. 신경학적 발현 증상의 형태는 혈종의 크기, 위치, 혈종과 관련된 근원적인 병태 생리학 등에 의해 어느 정도 결정된다.전형적인 증상은 두통을 동반한 국소 신경학적 결손이 갑자기 시작되고 의식 수준의 변화가 온다. 전형적인 신경학적 결손은 갑자기 나타나지만, 빨리 회복되어 일시적으로 오거나, 빠르게 혹은 느리게 진행하거나, 안정된 상태로 남을 수 있고, 반대로 심하게 나빠져 혼수나 사망에 이를 수 있다. 국소적 또는 전신적 발작이 나타날 수도 있다.뇌출혈 부위에 따라 증상이 조금씩 다른데, 피각부 출혈의 경우 반신 마비, 지각소실, 시야결손 등이 발생하며 대뇌우성 반구의 출혈이면 언어장애가 생긴다. 시상부 출혈의 경우 피각부 출혈과 비슷하며 저린감이 초기 증상일 수도 있다. 피질하 출혈은 초기에 두통 및 간질 등을 보일 수 있으며 발생 부위에 따라 국소적인 기능장애가 나타난다. 교출혈은 비록 출혈량이 적더라도 다른 부위의 출혈보다 더 심한 증상을 보이며 의식 혼수, 동공 축소, 체온 상승 등을 보이며 사망하게 되는 경우가 많다. 소뇌 출혈의 경우 후두의 통증, 어지러움 및 운동실조 등을 보이며 호흡마비, 의식저하 등으로 갑자기 악화될 수도 있다. 고혈압으로 인해서 오랜 기간 뇌 모세혈관이 손상을 받아오다가 이러한 작은 혈관이 압력을 견디지 못하고 파열된다.",고혈압성뇌출혈
"밤에 가로등 주변이나 길거리의 불빛이 있는 상황에서는 정상적으로 볼 수 있으나, 달빛이나 별빛 같이 더 어두운 상황에선 사물을 분간하기 어렵다. 그러나 심한 경우 어두운 곳에서 주위의 불빛이 있더라도 사물을 인식하는 데 문제가 있어 저녁 무렵 외출 자체가 어렵거나, 밤에 조금만 조명이 어두워도 실내 생활조차 어려울 수 있다. 또한 밤에 운전할 때 다른 차의 헤드라이트 불빛에 적응하기가 어렵거나 터널을 통과할 때 적응하기 어려울 수 있다. 병적인 야맹증이 있더라도 도시의 환한 불빛에서는 병이 어느 정도 진행할 때까지 증상을 못 느끼는 경우가 있다.",야맹증
"혀를 길게 내밀지 못하고 자유롭게 움직일 수 없다. 유아기에 모유 수유를 할 때 젖꼭지를 깨물어 통증을 유발할 수 있다. ‘ㄷ’, ‘ㄹ’의 발음에 문제가 생길 수도 있다. 


설소대 단축증 증상",설소대단축증
"가장 흔한 증상은 통증이다. 종양의 생기는 위치에 따라 통증 양상도 다양하게 나타난다. 경추부에 생긴 경우 목 부위 통증이, 요추부에 생긴 경우 허리 통증이 주로 나타난다. 척추 종양에 의한 통증은 추간판 탈출증(디스크) 등 다른 척추 질환과 달리 야간 동통이 특징적이며, 체위나 활동과는 비교적 관계없이 나타난다. 또한 경추부의 경우 한쪽 경추신경 압박에 의해 압박된 쪽 부위 어깨, 팔, 손가락에 통증이나 저린감, 감각 저하, 근력 감소가 나타날 수 있으며, 심한 경우 마비가 올 수 있다. 신경 압박이 더 심해질 경우 반대편에도 증상이 나타날 수 있다.흉추부의 경우 거들을 몸에 두른 듯 몸통을 따라 통증이 나타나는 거들형 통증과 감각 이상을 보일 수 있다. 요추부의 경우 한쪽 요추신경 압박에 의해 압박된 쪽 허벅지, 종아리, 발목, 발가락에 통증이나 저린감, 감각 저하, 근력 감소가 나타나며, 심한 경우 하지 마비가 올 수 있으며, 반대편에도 증상이 나타날 수 있다. 또한 항문 및 방광의 괄약근 마비 증상으로 배뇨 및 배변 장애가 나타날 수 있다. 그러나 심하지 않는 통증만 발생하거나 특별한 증상이 없는 경우도 있어 교통사고 후 촬영한 자기공명영상(MRI)에서 우연히 발견되는 경우도 가끔 있다.",척추종양
"부신 종양의 대부분은 비기능성으로 특별한 증상을 유발하지 않는다. 하지만 부신 종양의 15% 는 호르몬을 분비하는 기능성 종양이며, 분비하는 호르몬에 따라 다양한 증상을 유발한다. 환자들은 주로 두통, 심계항진, 발한, 손발저림, 무월경, 성기능 감퇴, 다모증, 과다한 여드름, 수면 장애 등을 호소한다. 또한 고혈압약제에 잘 반응하지 않는 심한 고혈압, 보름달 같은 얼굴모양, 뒷목의 지방축적, 팔다리의 근육위축 및 중심성 비만, 복부의 보라색 선조와 같은 것이 나타날 수 있다.",부신종양
"우리 몸 어느 부위에서나 발생할 수 있지만 보통 몸통, 허벅지, 팔 등과 같이 정상적인 지방 조직이 있는 피부 아래 조직에 가장 많이 발생한다. 종양은 주로 1~3cm 크기인 경우가 많으며 피부 바로 밑에서 잘 움직이고 부드러운 고무공처럼 만져지게 된다. 일반적으로 통증은 없으며 오랫동안 크기 변화가 없거나 몇 년에 걸쳐 서서히 자라서 10cm 이상의 거대 지방종(giant lipoma)이 되기도 한다. 크기가 커지는 경우 주변 조직에 붙어서 통증이 생길 수도 있으며 크기 및 위치에 따라 신체의 움직임이나 기능에 영향을 줄 수도 있다.",지방종
"간이 있는 오른쪽 윗배에 덩어리가 만져질 수 있으며, 간암이 빠르게 커질 때에는 같은 부위에 통증이 발생할 수 있고, 황달, 식욕부진, 체중감소가 생길 수도 있다. 그러나 대부분은 별다른 증상 없이 우연히, 혹은 정기검사에 의하여 발견된다.",간암
"건망증으로 인한 기억 장애의 경우에는, 일반적으로 힌트가 주어지면 기억할 수 있다. 힌트 없이도 잠시 후 시간이 지나 곰곰히 생각하면 기억이 떠오른다. 구체적인 예로는, 일시적으로 물건 둔 곳을 깜빡하거나, 대화의 세부 내용을 헷갈려 하는 경우 등이 있다.반면, 힌트가 주어져도 기억하지 못하거나, 대화를 했다는 사실 자체를 잊는 등 사건 전체를 기억하지 못하는 경우에는 치매의 초기 증상일 수 있으므로 정밀 검사를 통한 감별이 필요하다.",건망증
"대부분 성교 후 경미한 질 출혈이 가장 흔한 증상이다. 이러한 질 출혈은 처음에는 피가 묻어 나오는 정도이지만, 암이 진행되면서 출혈 및 질 분비물이 증가하고 궤양이 심화된다. 2차 감염이 발생한 경우에는 악취가 동반된다. 암이 진행하여 주변 장기인 직장이나 방광, 요관, 골반 벽, 좌골 신경 등을 침범하게 되면 배뇨곤란과 피가 섞여 나오는 소변, 직장출혈, 허리통증, 하지의 동통 및 부종, 체중감소 등의 증상이 나타나기도 한다.",자궁경부암
"임신 10개월(37주) 이전에 골반 및 하복부 압박 증상, 생리통 같은 통증, 질 출혈, 무색 분비물의 증가 등의 증상을 보인다. 이 경우 즉각 신생아 중환자실이 있는 병원으로 가서 입원 치료를 받아야 한다.",조산
"특정 대상이나 상황에 직면할 때, 혹은 그런 상황을 예견할 때 현저하고 지속적이며 지나치게 비합리적인 두려움을 경험한다. 청소년 및 성인 환자들은 그들의 두려움이 너무 지나치거나 비합리적임을 아는 경우도 있다. 공포반응은 공포자극과 가까운 정도, 도피 가능성 정도에 따라 다양하게 나타나며, 공포반응이 심해지면 공황발작을 경험하기도 한다.",공포증
"1) 3주 이상이 지나도 낫지 않는 입 안의 궤양 입 안의 궤양이란 입 안 점막이 헐거나 파인 것을 말하는데 일반적으로 가장 흔한 원인은 아프타 구내염과 같은 염증 때문이다. 이러한 구내염 때문에 한 군데에 생긴 궤양은 대개 1~2주 내로 없어지지만 심한 경우에는 다른 부위에 또 옮겨가기도 한다. 그러나 한 군데에 생긴 궤양이 3주가 되었는데도 아물지 않는다면 일반적 염증이 아닐 수 있으므로 병원을 방문해 보는 것이 좋다.2) 입 안에 생긴 종괴 혹은 부종(붓기)이 3주 이상 지속되는 경우입 안에서 평소에 없던 것이 만져지는 경우, 단순한 염증이거나 또는 염증 때문에 생긴 단순한 물혹일 수 있다. 그러나 본인이 생각하기에 뭔가 이상해 보이는데 원래부터 있던 것인지 아니면 새로 생긴 것인지 헛갈릴 때는 일단 좌우를 비교해 보라. 대칭적으로 보인다면 대개 정상일 가능성이 많으며, 비대칭이거나 의심스러운 점이 있으면 가까운 의원에서 진찰을 받는 것도 좋다. 또한 붓기가 생겨 3주가 지나도 없어지지 않는다면 전문의의 진료를 받을 것을 권장한다.3) 목에 만져지는 혹(경부 종괴)이 3주가 지나도 사라지지 않은 경우목에 없던 것이 새로 만져진다고 해서 그것이 곧 구강암을 의미하는 것은 아니다. 감기만 걸려도 임파선이 부어 혹처럼 만져질 수 있는데, 일반적 염증에 의한 것이라면 대개 3주 이내에 사라지는 것이 일반적이다. 그러나 3주가 지나도 남아 있거나 오히려 혹이 더 커진 것으로 느껴지면 전문의의 진찰을 받는 것이 좋다.4) 구강 점막의 적색 혹은 백색 반점볼이나 혀에 적색 혹은 백색 반점이 생긴 경우에도 대부분은 원인을 잘 모르거나, 만성 자극에 의하여 점막에 변화가 생겨 발생한 일시적인 증상일 가능성이 높다. 그러나 이러한 점막의 변화는 드물게 암의 초기 증상이거나 암으로 변하는 전단계일 수 있다. 그러므로 이전에 진단 받은 적이 없는 경우라면 전문의의 진료를 받는 것이 좋고, 오래된 반점인 경우 최근에 더 두꺼워지거나 헐거나, 범위가 넓어지는 경우에는 조직 검사를 받아 보는 것이 좋다. 5) 치주질환과 무관한 원인 미상의 치아 흔들림잇몸에 생긴 암이 치아의 뿌리 쪽으로 자라서 들어가면 치주질환이 없어도 치아가 흔들리는 증상이 생길 수 있다. 치아가 흔들리는 증상 외에도 이를 빼고 2주 이상 아물지 않는 경우에도 추가적인 검진이 필요하다. 그 외에 혀나 볼 점막의 통증, 불쾌한 입 냄새(구취) 등을 동반할 수 있다. 


설암 증상",설암
"림프절이 크기가 커지거나, 림프절이 딱딱하게 만져지면 경우에 따라서 통증이나 압통을 동반한다.",림프절비대
"머리카락 사이사이 피부를 들춰보면, 불긋불긋한 홍반이 있으면서 그 위로 각질이 일어나거나 기름기 있는 노르스름한 비늘이 발생하게 된다. 또한 가려움증이 동반되는 경우가 흔하다. 이 질환은 일반적으로 호전과 악화를 반복하면서 삶의 질을 떨어트리는 경우가 많다. 염증이 더욱 심해지거나 감염원이 적절히 제거되지 않는 경우에는 농포나 딱지가 발생하기도 하며 진물이 흐르면서 통증이 동반될 수 있다.",두피염
"근 근막통증 증후군은 근육 내에 압통점(눌러서 아픈 지점)과 통증 유발점이 있고, 지속적 통증과 결림, 조이는 듯한 느낌 등의 양상이고, 보통 근육을 감싸고 있는 결합조직에 통증과 근경련, 압통, 강직, 운동 제한, 쇠약 및 자율신경 기능 부전(땀, 체온 등의 이상) 등의 증상을 포함한다.",목근육통
"쥐어짜는 듯한 힘이 들어가는 음성, 말을 할때 음성이 단절되고 떨리면서 말을 이어나가기 어려움, 불규칙하게 떨리는 음성 등의 증상이 나타난다.",연축성발성장애
"1) 낮은 출생 체중2) 심장 기형: 약 95%이상에서 나타나며, 대표적으로 심방 사이막 결손, 막성 심실 사이막 결손, 방실관 결손, 우심실 이중 유출로, 대동맥 축착, 심장의 우측 전위 등이 나타날 수 있다.3) 심한 정신 지체4) 신장 기형: 약 15%에서 나타나며, 대표적으로 말발굽 콩팥, 낭종성 신장 질환, 수신증, 일측성 신장 무형성 등이 나타날 수 있다.5) 특징적인 머리 및 얼굴 모양: 후두골 돌출, 작은 눈, 작은 턱, 작은 입6) 손발의 특징적인 모양: 집게 손가락이 가운데 손가락 위에 위치, 새끼 손가락이 약손가락 위에 위치, 둥근 바닥창(rocker bottom)의 발 모양7) 기타 기형: 상완의 형성 부전, 반척추증, 탈장, 항문폐쇄증8) 거의 모든 장기의 기형을 동반하게 된다. 


에드워드 증후군에 나타나는 손의 특징적인 모양",에드워드증후군
"- 치아융합: 발육 시 인접 치아가 융합(fusion)된 형태 - 치아교착: 치아의 뿌리와 뼈가 붙은 경우 - 부교두(Accessory Cusps): 치아의 기형 중 치아의 봉우리 부위가 더 만들어진 경우로, 충치 발생 위험이 높아지고 양치질 하는 것이 힘들 수 있다. - 무치아증: 치아가 전혀 없는 경우 - Germination: 치아 발육 시 두 개의 치아로 불완전하게 나누어 지는 경우 - 저 치아증: 치아의 수가 정상보다 적은 경우 - 과다 치아증: 치아의 수가 정상보다 많은 경우 - 치아 왜소증: 치아의 크기가 정상보다 작은 경우로, 뇌하수체 기능 부전이 있는 경우 치아의 크기가 전체적으로 작아지게 된다. 악골의 크기에 비해 치아의 크기가 상대적으로 작은 경우는 유전적 소인이 의해 발생한다. 특정한 치아의 크기만 작은 경우는 주로 제3대구치와 상악 영구 측절치에서 발견되며, 소인증이나 다운증후군 등에서 많이 나타나지만 확실한 원인은 아직 밝혀지지 않았다. 후천적 요인으로는 치배 형성기에 방사선 조사를 받은 경우 치아 왜소증이 발생할 수 있다. - 치아 거대증 - 골형성 부전증 - 타우로돈티즘(taurodontism): 우상치라고도 하며, 치관부 및 내부 치수강(이의 속에 있는 빈 곳)이 치근(이의 뿌리, 이를 악골에 고정시키는 역할) 부위로 신장되어 치근은 짧고 상대적으로 치아의 몸체가 길어진 형태이다. 특별한 치료는 필요 없지만, 단지 치수치료 혹은 신경치료를 할 경우 주의를 요한다. 구루병, 저인산효소증, 유전성 유백색 상아질 등과 감별하는 것이 필요하다. - 만곡치: 치아가 굽어 있는 형태이며, 치아의 중앙부, 치관과 치근의 경계부가 굽어 있는 경우가 많다. 주로 상악 절치(위쪽 앞니)에서 많이 발생한다. 만곡치는 제대로 형성되지 않고 매복되어 있는 경우가 많은데, 특히 상악 중절치가 맹출하지 못하는 중요한 원인이 된다. 만곡이 심하지 않은 경우 교정이 가능하지만, 만곡이 심한 경우에는 정상적인 맹출과 교합에 지장을 주기 때문에 뽑아낼 필요가 있다. - 쌍생치: 치관이 2개이고 치근이 1개이다. 치관이 넓고 절단면에 얕은 구가 있어 2개의 치아로 보인다. 치열궁 내 치아의 개수는 정상이며, 영구치보다 유치에서 더 많이 나타나고 유전적인 경향이 있다. 절치(앞니), 견치(송곳니)가 잘 발생하는 부위이며 소구치(작은 어금니)에도 가끔 나타난다. 치관이 커서 정상적인 교합 형성이 방해 받는 경우에는 주기적으로 치관의 인접면을 삭제해 주는 치료를 시행한다. - 허친슨 절치: 선천성 매독으로 출생한 유아의 2/3에서 발견되며, 초기에는 특별한 증상이 발견되지 않지만 생후 3개월부터 일부 기형이 나타난다. 절치(앞니) 치관 모양이 원추형이고 절치면 중앙에 패임(notch) 형태가 나타난다. 대부분 영구치 절치에서 나타나고 유절치에서 나타나는 경우는 매우 드물다. 구치부(어금니)의 경우 교합면이 불규칙하고 많은 소결절이 보이는데, 이를 상실구치(mulberry molar)라고 부른다. - 상아질 형성 부전증: 치아의 상아질 형성에 이상이 생겨 충치가 발생할 가능성이 높아진다. - 반상치: 치아에 흰 반점이 생기고, 형성 부전이 나타난다. - 법랑질 형성 부전증: 치아의 가장 바깥쪽을 이루는 법랑질이 형성되지 않은 경우이며, 충치 발생 가능성이 높다.",치아발육및맹출장애
"내시경검사 상 관찰되는 위장 점막의 염증은 아무런 증상이 없는 사람에서부터 심한 복통, 체중감소까지 매우 다양하게 나타날 수 있다. 일반적으로 위장 점막에는 감각신경이 발달되어 있지 않으므로 심한 염증이 생겨도 이로 인한 직접적인 증상을 느끼지 못할 수 있다. 소화불량, 위장 부근의 불편감, 심와부(명치) 통증, 복부 팽만감, 식욕부진, 트림, 구토, 오심, 열감 등의 증상이 나타날 수 있으며, 위내시경에서 소화성 궤양이 없음에도 이러한 증상이 나타나는 경우를 비궤양성 소화불량이라고 한다.",위염
"초기에는 경부(목 부위) 통증과 위화감, 압박감의 증세로 시작한다. 그러다 진행이 되면 후종인대가 딱딱해지고 점차 커지면서 신경을 압박하여 팔이나 손의 저림, 통증, 감각 저하, 근력 저하로 시작하여 점차 다리의 근력 저하 및 감각 이상, 보행 장애, 배뇨나 배변장애가 나타나며, 외상으로 인해 더 악화되거나 더 심한 경우에는 팔다리의 마비도 올 수 있다.",후종인대골화증
"모야모야병의 증상은 발병 시기에 따라 큰 차이가 있다.소아의 경우에는 주로 뇌혈관이 좁아지면서 일시적으로 뇌기능의 장애가 생기는 일과성 허혈발작이 흔히 나타난다. 주로 울거나 감정이 격해졌을 때 호흡이 가빠지면서 뇌혈관 폐색이 심해지고 순간적으로 한쪽 팔다리에 힘이 빠지는 증상이 나타난다. 증상은 수 분 정도 지속되며 저절로 회복된다. 풍선이나 리코더를 불다가 숨이 가빠지면서 발생하거나 라면같이 뜨거운 음식을 먹으며 후후 불다가 증상이 발생하기도 한다. 증상이 회복되지 않고 한 시간 이상 지속되는 경우, 일과성 허혈발작을 넘어서 뇌경색이 발생한 것을 의심해야 한다. 두통도 흔한 증상이며 주로 아침에 일어날때 학교가기 전에 호소하며 구역감, 구토를 동반하기도 한다. 학교에 가지않고 한두시간 더 자거나 쉬면 호전되는 양상을 보인다. 3세 이하의 어린 영아에서 모야모야병은 드물지만 다른 연령에 비해 질병이 빠르게 진행하는 양상을 보이는데 뇌경색이 좌우 뇌에 연달아 발생하기도 하여 주의를 요한다. 드물게 중학생 이상의 청소년에서 뇌출혈이 발생하여 심한 두통과 의식저하를 보이기도 한다.소아에게 뇌출혈은 드물지만 30~40대의 성인은 첫 증상으로 뇌출혈이 발생하는 경우가 보다 많으며 이에 따라서 영구적인 장애를 남길 가능성이 높다. 초기 증상이 뇌전증 발작 형태로 발생하는 경우도 있으므로 정밀한 검사가 필요하다. 성인에서는 간헐적인 두통 이외에 특별한 증상이 없는 경우도 적지 않다.",모야모야병
"다발성 경화증은 재발이 반복되고 병적인 변화가 중추신경계의 여러 곳에 산재되어 나타나는 특성이 있다. 즉, 다발성 경화증에 특이적인 증상이 따로 있는 것이 아니며, 병적인 증상이 나타나는 위치에 따라 질환의 증상 및 징후가 다양하게 나타난다. 흔히 급성이나 아급성으로 나타났다가 서서히 호전되는 경과를 보인다.가장 흔한 증상은 감각증상(초기 증상)과 운동장애이다. 감각증상은 무감각, 얼얼한 느낌, 화끈거림 등의 이상감각의 형태로 나타난다. 간혹 턱을 강하게 가슴 앞으로 당길 때 등을 타고 아래로 뻗치는 이상감각이 있을 수 있다. 운동장애는 병적인 증상이 나타난 위치에 따라 반신마비, 하반신마비 또는 사지마비 등이 다양하게 나타날 수 있다. 우리나라를 비롯한 아시아에서는 척수 침투에 의한 하지마비가 가장 흔하고 이로 인한 배뇨, 배변, 성기능 장애도 상대적으로 흔하게 나타난다.한쪽 시각신경염이 다발성 경화증의 초기 증상으로 흔히 발생하고, 질환이 경과되면서 동반되는 경우도 매우 흔하다. 대뇌는 병적인 변화가 가장 잘 생기는 곳이지만, 초기에는 이로 인해 나타나는 증상이 대부분 뚜렷하지 않다. 그러나 우울증, 기억력 장애가 나타날 수 있고, 질환이 진행되면 인지기능장애가 나타난다. 다발성 경화증 환자의 다수가 피로를 호소한다.동양인에게 나타나는 다발성 경화증은 서양인에게 나타나는 형태에 비해 발병 빈도가 더 낮고 임상 양상도 다르다. 발병 당시 시각신경이나 척수의 침범이 많고 심한 증상이 나타나는 경우가 서양인의 다발성 경화증보다 더 흔하다.- 이상감각 증상: 무감각, 얼얼한 느낌, 화끈거림(국소적으로 나타남)- 운동 장애: 반신마비, 하반신마비, 사지마비(하지마비에 동반하여 배뇨, 배변, 성기능 장애)- 시각신경염: 통증이 동반된 시력 저하, 시야 흐림다발성 경화증은 모든 연령층에서 발생할 수 있지만, 주로 20~40세에 가장 많이 발생하고, 10세 이전이나 60세 이후에는 발병이 드물다.  


다발성 반(plaque)",다발성경화증
"영아에서는 식욕 부진, 연하(삼킴) 곤란, 연하통, 수유 시 등 젖히기, 보챔, 토혈, 빈혈이나 체중 증가가 불량한 증상과 무호흡, 천명, 만성 기침, 반복성 폐렴, 영아 돌연사 증후군 등 다양한 호흡기 증상으로 나타날 수 있다. 유아기에는 간헐적인 구토 증상이 나타나며 그 후에는 어른과 같이 만성적인 가슴 쓰림, 산역류 증상을 보인다.",소아위식도역류
"교모세포종은 매우 빠르게 성장하는 종양이며 이로 인해 뇌압이 급속히 상승하여 두통(아침에 심함), 메슥거림(오심), 구토 등이 있으며 성인의 경우에는 경련이 자주 발생한다. 이외에도 종양 자체 또는 종양에 동반된 뇌 부종으로 인해 인근 신경의 기능이 저하되어 사지 운동 또는 감각 저하, 얼굴마비, 언어장애, 인지기능 저하, 좌-우 구분장애 등 다양한 증상이 나타날 수 있다. 이러한 신체 일부의 신경학적 결손은 종양의 발생 위치에 따라 매우 다양하여 어느 증상 하나만으로 진단을 내릴 수는 없다.",교모세포종
"증상은 원위부 장의 폐색이 있을 때 발생할 수 있는 증상들, 즉 담즙(쓸개즙)을 동반한 구토, 복부팽만(배가 불러오는 현상), 태변이 배출되지 않는 증상이 나타난다. 정상적으로 태변은 출생 후 48시간 이내 배출되어야 하지만 히르슈슈프룽 병의 경우 50-90% 에서 태변 배출이 되지 않는다. 장염을 주소로 내원하기도 하는데 고열, 구토, 설사, 복부팽만을 동반하는 패혈증 상태로 중독성거대결장의 증상을 보이기도 한다.",히르슈슈프룽병
"전형적인 양수색전증의 증상은 진통 중 또는 분만 후에 갑작스런 심폐 기능의 상실, 저혈압, 호흡 곤란, 경련이며 태아 서맥 및 태아 가사도 흔히 동반된다. 이러한 급작스런 증상에서 생존한 후에는 파종혈관내응고로 인한 출혈이나 호흡곤란증후군, 다기관 기능부전이 발생한다. 대부분 분만 진통과 출산 직후에 발생하나, 드물게 인공 유산, 낙태, 양수 천자술, 복부 둔상, 수술적 외상 시에도 발생한 보고가 있다.",양수색전증
"딸꾹질은 저절로 호전되는 경우가 대부분이다. 하지만 지속되는 딸꾹질은 식욕부진, 체중감소, 탈수를 유발하여 건강에 심각한 악영향을 주기도 한다.",딸꾹질
"혈종은 붉은색에서 자주색 또는 푸른색에서 검푸른 색의 부풀어 오른 조직으로 보인다. 압력을 가해서 색이 변하지는 않는다. 가벼운 통증이 있을 수 있다. 


구내혈종",구내혈종
"대부분의 갑상선암은 특별한 증상이 없으며, 일부에서 크기 증가, 통증, 쉰 목소리, 연하곤란 등의 압박증상 등이 나타날 수 있다.",갑상선암
"잠복기는 대체로 7일 이내이나, 60일까지 다양합니다. 탄저균이 피부를 통해 감염되었을 때는 노출 부위의 가려움증, 부스럼 및 물집이 생겼다가 2일에서 6일 이후에는 고름이 형성되며 검은 색으로 보여 탄저병이라는 이름을 갖게 되었습니다. 탄저균을 흡입하면 호흡기 탄저병이 생기는데 초기에는 폐렴으로 나타나며 3가지 형태의 탄저병 중 가장 중증도가 높고 사망률이 높습니다. 위장관 감염은 감염된 동물을 날로 먹었을 때 발생하며 우리나라에서는 탄저병에 걸린 소의 날간을 먹어서 감염된 사례들이 보고된 바 있습니다. 위장관 감염은 발열과 복통으로 나타납니다.   


피부 병변",탄저병
